id,author
885,Rolf Drechsler
886,Robert Wille
887,Bingcong Li
888,Meng Ma
889,Georgios B. Giannakis
890,Xiaolei Liu
891,Xiaosong Zhang
892,Kun Wan
893,Qingxin Zhu
894,Yufei Ding
895,Ryan Feng
896,Youngsun Kim
897,Gilwoo Lee
898,Ethan K. Gordon
899,Matt Schmittle
900,Shivaum Kumar
901,Tapomayukh Bhattacharjee
902,Siddhartha S. Srinivasa
903,Tasmeen Zaman Ornee
904,Yin Sun
905,Shayan Zamani
906,Hadi Hemmati
907,Xinyuan Zhang
908,Siyang Yuan
909,Dinghan Shen
910,Lawrence Carin
911,Mohamed Baza
912,Marbin Pazos-Revilla
913,Mahmoud Nabil
914,Ahmed Sherif
915,Mohamed Mahmoud
916,Waleed Alasmary
917,Wennan Zhu
918,Peter Kairouz
919,Haicheng Sun
920,Brendan McMahan
921,Wei Li
922,Agostina J. Larrazabal
923,Cesar Martinez
924,Enzo Ferrante
925,Devansh Arpit
926,Victor Campos
927,Yoshua Bengio
928,Jeremy Diaz
929,Maxwell Joseph
930,Diego P. Tsutsumi
931,Amanda Fenerich
932,Thiago H. Silva
933,Norman Mu
934,Julián Urbano
935,Harlley Lima
936,Alan Hanjalic
937,Abhijit Mahalunkar
938,John D. Kelleher
939,Wyverson B. de Oliveira
940,Leyza B. Dorini
941,Rodrigo Minetto
942,J. J. B. Biemond
943,R. Postoyan
944,W. P. M. H. Heemels
945,N. van de Wouw
946,Jack Serrino
947,Max Kleiman-Weiner
948,David C. Parkes
949,Joshua B. Tenenbaum
950,Yang Li
951,Lukasz Kaiser
952,Samy Bengio
953,Wasi Uddin Ahmad
954,Kai-Wei Chang
955,Hongning Wang
956,Hongki Lim
957,Il Yong Chun
958,Yuni K. Dewaraja
959,Jeffrey A. Fessler
960,Martine De Cock
961,Rafael Dowsley
962,Anderson C. A. Nascimento
963,Devin Reich
964,Ariel Todoki
965,Parameswaran Kamalaruban
966,Rati Devidze
967,Volkan Cevher
968,Adish Singla
969,David H. Brookes
970,Akosua Busia
971,Clara Fannjiang
972,Kevin Murphy
973,Jennifer Listgarten
974,Jun Wu
975,Jingrui He
976,Jiejun Xu
977,Pauline C. M. Jakob
978,Seiichi Shimizu
979,Shoji Yoshikawa
980,Koki Ho
981,Alexander Broad
982,Todd Murphey
983,Brenna Argall
984,Kainan Peng
985,Wei Ping
986,Zhao Song
987,Kexin Zhao
988,Bindu Jagannatha
989,Alan Kuhnle
990,Tyler Sypherd
991,Mario Diaz
992,Harshit Laddha
993,Lalitha Sankar
994,Gautam Dasarathy
995,Svitlana Vyetrenko
996,Shaojie Xu
997,Vincent A. Cicirello
998,Sébastien Forestier
999,Damir Vodenicarevic
1000,Heejin Park
1001,Shuang Zhai
1002,Long Lu
1003,Felix Xiaozhu Lin
1004,Kazufumi Ito
1005,Christoph Reisinger
1006,Yufei Zhang
1007,Lichao Sun
1008,Yingbo Zhou
1009,Ji Wang
1010,Richard Sochar
1011,Philip S. Yu
1012,Weiran Huang
1013,Wei Chen
1014,Noel C. F. Codella
1015,Michael Hind
1016,Karthikeyan Natesan Ramamurthy
1017,Murray Campbell
1018,Amit Dhurandhar
1019,Kush R. Varshney
1020,Dennis Wei
1021,Aleksandra Mojsilović
1022,Albert Chen
1023,Daniel Barath
1024,Maksym Ivashechkin
1025,Jiri Matas
1026,Lin F. Yang
1027,Mengdi Wang
1028,Cong Ye
1029,Konstantinos Slavakis
1030,Pratik V. Patil
1031,Sarah F. Muldoon
1032,John Medaglia
1033,Radwa Elshawi
1034,Mohamed Maher
1035,Sherif Sakr
1036,Diego Ferigo
1037,Silvio Traversaro
1038,Francesco Romano
1039,Daniele Pucci
1040,Tao Yu
1041,Michihiro Yasunaga
1042,Yi Chern Tan
1043,Xi Victoria Lin
1044,Suyi Li
1045,Heyang Er
1046,Irene Li
1047,Bo Pang
1048,Tao Chen
1049,Emily Ji
1050,Shreya Dixit
1051,David Proctor
1052,Sungrok Shim
1053,Jonathan Kraft
1054,Vincent Zhang
1055,Dragomir Radev
1056,Martin Zlocha
1057,Qi Dou
1058,Ben Glocker
1059,Chengbin Hou
1060,Shan He
1061,Ke Tang
1062,Yuandong Tian
1063,Tina Jiang
1064,Qucheng Gong
1065,Ari Morcos
1066,Shiqi Wang
1067,Yizheng Chen
1068,Ahmed Abdou
1069,Suman Jana
1070,Fabian Balsiger
1071,Yannick Soom
1072,Olivier Scheidegger
1073,Mauricio Reyes
1074,Laura D'Arcy
1075,Padraig Corcoran
1076,Alun Preece
1077,Sridhar Adepu
1078,Venkata Reddy Palleti
1079,Gyanendra Mishra
1080,Aditya Mathur
1081,Pin Wang
1082,Tianyu Shi
1083,Chonghao Zou
1084,Long Xin
1085,Ching-Yao Chan
1086,Bowen Li
1087,Lili Mou
1088,Frank Keller
1089,Hanhan Li
1090,Curtis McCord
1091,Christoph Becker
1092,Liwei Guo
1093,Yi Qiao
1094,Michael Cary
1095,Kookjin Lee
1096,Kevin Carlberg
1097,Darwin Saire Pilco
1098,Adín Ramírez Rivera
1099,TianXing Li
1100,Zhi Yu
1101,Brendan Duke
1102,Edmund Phung
1103,Irina Kezele
1104,Parham Aarabi
1105,Keivan Alizadeh
1106,Ali Farhadi
1107,Mohammad Rastegari
1108,Maxime Meyer
1109,Elizabeth A. Quaglia
1110,Ben Smyth
1111,Feng Liu
1112,Li Wang
1113,Yifei Lou
1114,Rencang Li
1115,Patrick Purdon
1116,Dmitry Kopitkov
1117,Vadim Indelman
1118,Izhak Shafran
1119,Tom Bagby
1120,R. J. Skerry-Ryan
1121,Anurag Anshu
1122,Rahul Jain
1123,Naqueeb Ahmad Warsi
1124,Emma Strubell
1125,Ananya Ganesh
1126,Andrew McCallum
1127,Suchin Gururangan
1128,Tam Dang
1129,Dallas Card
1130,Noah A. Smith
1131,Yun Zhao
1132,Elmer Guzman
1133,Morgane Audouard
1134,Zhuowei Cheng
1135,PaulK. Hansma
1136,Kenneth S. Kosik
1137,Linda Petzold
1138,Nan Du
1139,Kai Chen
1140,Anjuli Kannan
1141,Linh Tran
1142,Yuhui Chen
1143,Shuyang Dai
1144,Kihyuk Sohn
1145,Yi-Hsuan Tsai
1146,Manmohan Chandraker
1147,Jean-Francois Ton
1148,Lucian Chan
1149,Yee Whye Teh
1150,Dino Sejdinovic
1151,Jukka Ruohonen
1152,Kai Kimppa
1153,Pooya Ronagh
1154,Sébastien Lachapelle
1155,Philippe Brouillard
1156,Tristan Deleu
1157,Simon Lacoste-Julien
1158,Abdalla Ahmed
1159,Sitao Luan
1160,Mingde Zhao
1161,Xiao-Wen Chang
1162,Doina Precup
1163,Silu Zhang
1164,Xin Dang
1165,Dao Nguyen
1166,Dawn Wilkins
1167,Yixin Chen
1168,Yubo Zhang
1169,Pavel Tokmakov
1170,Cordelia Schmid
1171,Vaishaal Shankar
